DATA MEDICAO;HORA MEDICAO;PRECIPITACAO TOTAL, HORARIO(MM);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(MB);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA(CODIGO);VENTO, VELOCIDADE HORARIA(M/S)
2019-01-25;0;0,0;912,8;25,6;17,3;58;36,0;1,1
2019-01-25;1200;0,0;913,5;24,1;17,6;66;36,0;2,1
2019-01-25;1800;0,0;912,2;28,9;15,1;42;36,0;1,8
2019-01-26;0;0,0;912,3;24,5;16,2;60;36,0;2,3
2019-01-26;1200;0,0;914,8;24,4;17,9;67;36,0;3,3
2019-01-26;1800;0,0;913,4;27,4;15,1;45;36,0;1,1
2019-01-27;0;0,0;914,4;22,1;17,1;74;27,0;0,5
2019-01-27;1200;0,0;916,7;23,9;16,0;60;36,0;1,8
2019-01-27;1800;0,0;914,5;29,8;12,3;33;36,0;1,1
2019-01-28;0;0,0;915,7;25,4;16,8;57;36,0;1,6
2019-01-28;1200;0,0;916,3;25,1;17,6;62;36,0;1,6
2019-01-28;1800;0,0;915,2;30,7;15,9;41;36,0;0,8
2019-01-29;0;0,0;915,0;26,7;15,4;50;36,0;1,3
2019-01-29;1200;0,0;917,2;25,8;18,0;61;36,0;1,8
2019-01-29;1800;0,0;913,6;32,7;10,8;25;36,0;1,6
2019-01-30;0;0,0;914,3;27,4;15,3;46;36,0;1,5
2019-01-30;1200;0,0;914,0;25,6;17,3;58;5,0;2,1
2019-01-30;1800;0,0;912,0;32,1;14,6;34;5,0;1,5
2019-01-31;0;0,0;912,9;27,7;12,5;39;36,0;1,8
2019-01-31;1200;0,0;913,0;27,7;14,0;42;36,0;1,3
2019-01-31;1800;0,0;911,7;32,7;12,9;29;36,0;0,8
2019-02-01;0;0,0;910,8;27,7;15,0;46;36,0;1,6
2019-02-01;1200;0,0;914,5;26,8;16,1;50;36,0;1,6
2019-02-01;1800;0,0;912,2;31,7;12,1;29;36,0;1,8
2019-02-02;0;0,0;912,8;27,8;14,1;44;36,0;1,5
2019-02-02;1200;0,0;914,3;26,7;16,0;52;5,0;0,8
2019-02-02;1800;0,0;910,6;32,1;14,3;33;36,0;1,6
2019-02-03;0;0,0;910,7;28,3;14,5;42;36,0;1,6
2019-02-03;1200;0,0;912,1;28,1;14,7;43;5,0;1,3
2019-02-03;1800;0,0;910,8;32,7;14,8;32;36,0;1,6
2019-02-04;0;0,0;909,1;29,1;16,3;45;36,0;1,6
2019-02-04;1200;0,8;913,7;21,3;17,1;75;9,0;1,8
2019-02-04;1800;1,0;910,0;29,5;17,0;46;32,0;1,5
2019-02-05;0;0,0;911,2;24,7;17,2;62;36,0;1,5
2019-02-05;1200;0,0;912,2;24,7;17,7;64;5,0;1,6
2019-02-05;1800;0,0;910,2;29,8;16,6;44;32,0;1,6
2019-02-06;0;13,0;911,1;22,1;17,5;75;36,0;0,8
2019-02-06;1200;0,0;913,1;21,8;18,0;78;36,0;0,7
2019-02-06;1800;12,7;911,1;21,6;20,1;91;32,0;0,5
2019-02-07;0;9,1;911,5;20,3;19,4;93;36,0;1,0
2019-02-07;1200;10,6;912,1;20,1;18,8;91;5,0;0,7
2019-02-07;1800;7,1;909,0;22,3;19,4;82;36,0;0,5
2019-02-08;0;0,0;909,9;21,5;19,1;85;36,0;0,5
2019-02-08;1200;0,0;910,7;24,7;18,6;68;36,0;0,5
2019-02-08;1800;0,0;908,6;29,3;16,6;49;27,0;1,3
2019-02-09;0;0,0;910,6;23,7;17,7;68;36,0;1,6
2019-02-09;1200;0,0;912,0;24,8;17,3;63;36,0;2,9
2019-02-09;1800;0,0;909,6;29,7;17,5;48;36,0;1,3
2019-02-10;0;0,0;906,2;24,9;18,1;66;36,0;1,3
2019-02-10;1200;0,0;912,7;25,0;18,7;68;36,0;1,0
2019-02-10;1800;0,0;909,7;30,3;16,0;40;36,0;1,8
2019-02-11;0;0,0;911,4;25,7;18,1;62;36,0;1,8
2019-02-11;1200;0,0;914,9;24,4;18,8;70;36,0;0,8
2019-02-11;1800;0,0;912,4;30,8;17,1;43;36,0;0,8
2019-02-12;0;0,0;912,6;26,4;17,2;55;36,0;1,1
2019-02-12;1200;0,0;914,2;25,1;16,0;56;5,0;1,5
2019-02-12;1800;0,0;911,1;29,3;17,2;48;36,0;1,3
2019-02-13;0;0,0;911,6;26,5;18,1;60;27,0;1,0
2019-02-13;1200;0,0;912,2;26,6;19,5;66;9,0;1,1
2019-02-13;1800;2,9;910,0;26,0;19,2;67;27,0;2,1
2019-02-14;0;42,0;912,8;19,8;17,8;86;9,0;1,1
2019-02-14;1200;0,0;913,5;20,9;16,6;76;5,0;0,7
2019-02-14;1800;0,0;911,9;26,2;18,6;61;36,0;0,8
2019-02-15;0;0,0;912,7;22,2;18,2;77;36,0;0,5
2019-02-15;1200;0,2;913,3;21,9;18,3;79;5,0;1,3
2019-02-15;1800;12,3;910,2;23,1;19,9;80;9,0;1,3
2019-02-16;0;0,0;909,2;22,3;20,6;89;36,0;0,5
2019-02-16;1200;3,2;910,5;22,1;20,1;88;36,0;1,0
2019-02-16;1800;10,7;908,3;24,6;20,3;75;32,0;0,5
